City,AreaType,Sqft,Bedrooms,Bathrooms,Floor,NoofFloors,FurnishingStatus,TenantPreferred,PointofContact
kolkata,super,1100,2,2,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,800,2,1,1.0,3.0,semi-furnished,bachelors/family,owner
kolkata,super,1000,2,1,1.0,3.0,semi-furnished,bachelors/family,owner
kolkata,super,800,2,1,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,850,2,1,1.0,2.0,unfurnished,bachelors,owner
kolkata,super,600,2,2,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,super,700,2,2,0.9,4.0,unfurnished,bachelors,agent
kolkata,super,250,1,1,1.0,2.0,unfurnished,bachelors,agent
kolkata,carpet,800,2,2,1.0,2.0,unfurnished,bachelors,agent
kolkata,carpet,1000,2,2,1.0,3.0,semi-furnished,bachelors/family,owner
kolkata,carpet,1200,3,2,1.0,4.0,semi-furnished,bachelors/family,agent
kolkata,carpet,400,1,1,1.0,1.0,unfurnished,bachelors/family,agent
kolkata,carpet,250,1,1,1.0,4.0,furnished,bachelors,owner
kolkata,carpet,375,1,1,1.0,2.0,unfurnished,bachelors/family,agent
kolkata,carpet,900,3,2,0.9,2.0,unfurnished,bachelors,owner
kolkata,carpet,1286,3,2,1.0,1.0,furnished,bachelors/family,owner
kolkata,super,600,2,1,1.0,2.0,semi-furnished,bachelors/family,owner
kolkata,super,800,2,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,2000,2,1,0.9,3.0,unfurnished,bachelors/family,owner
kolkata,super,660,2,1,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,650,2,1,1.0,2.0,unfurnished,family,owner
kolkata,carpet,400,2,2,2.0,3.0,unfurnished,bachelors,owner
kolkata,carpet,300,1,1,0.9,4.0,unfurnished,bachelors/family,owner
kolkata,super,1600,3,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,400,1,1,1.0,2.0,semi-furnished,bachelors,agent
kolkata,super,1000,2,1,1.0,1.0,unfurnished,bachelors/family,owner
kolkata,carpet,355,1,1,1.0,1.0,semi-furnished,bachelors/family,agent
kolkata,super,1000,2,1,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,super,800,2,1,4.0,5.0,unfurnished,bachelors/family,owner
kolkata,super,850,2,2,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,350,1,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,900,2,2,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,550,2,1,1.0,1.0,semi-furnished,bachelors/family,owner
kolkata,carpet,500,2,2,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,1100,3,1,2.0,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,850,2,1,1.0,2.0,semi-furnished,bachelors/family,owner
kolkata,carpet,800,2,1,2.0,2.0,unfurnished,bachelors,agent
kolkata,carpet,630,2,1,0.9,3.0,unfurnished,bachelors,owner
kolkata,carpet,900,2,2,1.0,2.0,semi-furnished,bachelors,owner
kolkata,carpet,270,1,1,1.0,2.0,semi-furnished,bachelors/family,owner
kolkata,carpet,630,2,1,0.9,1.0,semi-furnished,bachelors/family,owner
kolkata,carpet,1500,3,2,0.9,2.0,furnished,bachelors,owner
kolkata,super,600,1,1,2.0,5.0,unfurnished,bachelors/family,owner
kolkata,carpet,700,2,1,4.0,24.0,semi-furnished,bachelors/family,owner
kolkata,super,300,1,1,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,super,1300,2,2,0.9,1.0,semi-furnished,family,owner
kolkata,carpet,400,2,1,3.0,3.0,semi-furnished,bachelors,owner
kolkata,super,650,2,2,0.9,1.0,unfurnished,family,owner
kolkata,super,2000,3,2,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,super,1068,3,2,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,super,150,1,1,1.0,1.0,furnished,bachelors/family,owner
kolkata,carpet,450,1,1,2.0,2.0,unfurnished,bachelors,owner
kolkata,carpet,800,2,1,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,super,1000,2,2,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,900,2,1,5.0,5.0,semi-furnished,bachelors,owner
kolkata,carpet,600,1,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,1200,2,1,1.0,1.0,unfurnished,bachelors/family,owner
kolkata,super,1200,2,2,2.0,2.0,semi-furnished,bachelors,owner
kolkata,super,650,2,2,0.9,3.0,semi-furnished,bachelors/family,owner
